Country|Name|lat|lng|Altitude
United States|New York City|40.7142691|-74.0059738|2.0
	CORNELL UNIVERSITY	42.4534492	-76.4735027
	COLORADO SCHOOL OF MINES	39.7510136	-105.2225705
	REGIS UNIVERSITY	39.7893353	-105.0298601
	UNIVERSITY OF SOUTHERN COLORADO	38.30854	-104.5760394
	UNIVERSITY OF NORTHERN COLORADO	40.4055236	-104.6961077
	UNIVERSITY OF COLORADO AT COLORADO SPRINGS	38.8964679	-104.8050594
	HOPE INTERNATIONAL UNIVERSITY	33.8768351	-117.8854274
	CARNEGIE LIBRARY OF PITTSBURGH	40.4563575	-80.0065961
	CALIFORNIA POLYTECHNIC STATE UNIVERSITY	35.3050053	-120.6624942
	CAPE COD COMMUNITY COLLEGE	41.6911001	-70.3373416
	PIKES PEAK LIBRARY DISTRICT	38.953371	-104.793064
	CALIFORNIA STATE UNIVERSITY/SAN MARCOS	33.1291944	-117.1591368
	CA STATE UNIVERSITY, SACRAMENTO	38.5612918	-121.4240519
	SAN FRANCISCO STATE UNIVERSITY LIBRARY	37.7213383	-122.4781604
	SAN JOSE STATE UNIVERSITY	37.3351874	-121.8810715
	CLEVELAND STATE UNIVERSITY	41.5024973	-81.6747185
	CENTRAL CONNECTICUT STATE UNIVERSITY	41.693255	-72.764167
	CONNECTICUT COLLEGE	41.3786877	-72.1045869
	CUNY - LA GUARDIA COMMUNITY COLLEGE	40.7443347	-73.935085
	CITY UNIVERSITY	47.6174502	-122.3444679
	UNIVERSITY OF CALIFORNIA, IRVINE	33.6404952	-117.8442962
	CURRY COLLEGE	42.2353087	-71.1111665
	UNIVERSITY OF CALIFORNIA, SANTA BARBARA	34.4139629	-119.848947
	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	36.9915847	-122.0582771
	CENT WASHINGTON UNIVERSITY	38.6487895	-90.3107962
	THE BROOKINGS INSTITUTION	38.9090159	-77.0405558
	DAKOTA COUNTY LIBRARY SYSTEM	44.81778	-93.163456
	NEW CASTLE COUNTY DEPT OF LIBRARIES	39.7108666	-75.6787749
	GEORGE WASHINGTON UNIVERSITY	38.8997145	-77.0485992
	DICKINSON COLLEGE	40.2027214	-77.197232
	DAYTON & MONTGOMERY COUNTY PUBLIC LIBRARY	39.7605486	-84.1878269
	DOVER PUBLIC LIBRARY	39.1589021	-75.5226961
	BUCKS COUNTY FREE LIBRARY	40.307998	-75.125814
	DENVER PUBLIC LIBRARY	39.737371	-104.988115
	DOMINICAN UNIVERSITY OF CALIFORNIA	37.9795666	-122.513156
	DUQUESNE UNIVERSITY	40.4374516	-79.9905863
	CARROLL AND MADISON LIBRARY SYSTEM	36.3640383	-93.5686317
	NYS DEPT OF ENVIRONMENTAL CONSERVATION	42.652359	-73.74861
	AMERICAN UNIVERSITY	38.9374948	-77.0888029
	SPARROW HEALTH SCIENCES LIBRARY	42.7339085	-84.5349616
	EDUCATIONAL TESTING SERVICE	40.3445203	-74.7162036
	PALM BEACH COMMUNITY COLLEGE	26.8430204	-80.0793406
	FARMINGTON COMMUNITY LIBRARY	42.4979705	-83.3709079
